Wed May 07 21:16:31 2014    myapp.profile

         1542233 function calls (1519371 primitive calls) in 34.620 seconds

   Ordered by: internal time, cumulative time, call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
4622/1301    0.037    0.000    5.506    0.004 {method 'dispatch' of 'kivy._event.EventDispatcher' objects}
     5371    0.037    0.000    0.037    0.000 {method 'update' of 'dict' objects}
      183    0.035    0.000    0.035    0.000 {method 'fill' of 'pygame.Surface' objects}
     6537    0.035    0.000    0.076    0.000 C:\Python27\lib\site-packages\kivy\lang.py:1290(get_proxy)
    16865    0.034    0.000    0.034    0.000 {method 'remove' of 'list' objects}
     3186    0.033    0.000    0.033    0.000 <string>:33(<module>)
     5190    0.033    0.000    0.033    0.000 {locals}
    15205    0.032    0.000    0.032    0.000 {getattr}
      923    0.032    0.000    0.070    0.000 C:\Python27\lib\site-packages\kivy\uix\widget.py:316(add_widget)
     1712    0.031    0.000   34.384    0.020 C:\Python27\lib\site-packages\kivy\core\window\window_pygame.py:286(_mainloop)
     1878    0.031    0.000    0.038    0.000 C:\Python27\lib\site-packages\kivy\core\text\text_pygame.py:28(_get_font_id)
      869    0.030    0.000    0.030    0.000 {method 'blit' of 'pygame.Surface' objects}
     1673    0.029    0.000    0.047    0.000 C:\Python27\lib\collections.py:104(values)
        1    0.029    0.029    0.074    0.074 C:\Python27\lib\site-packages\kivy\input\providers\tuio.py:37(<module>)
        1    0.028    0.028    0.045    0.045 C:\Python27\lib\site-packages\kivy\lib\osc\__init__.py:7(<module>)
     2299    0.026    0.000    0.026    0.000 <string>:110(<module>)
     1712    0.026    0.000    0.030    0.000 C:\Python27\lib\site-packages\kivy\input\providers\mouse.py:224(update)
     2177    0.025    0.000    0.025    0.000 <string>:97(<module>)
     1712    0.023    0.000    0.028    0.000 C:\Python27\lib\site-packages\kivy\clock.py:519(_release_references)
     9955    0.023    0.000    0.023    0.000 {method 'keys' of 'dict' objects}
      404    0.022    0.000    0.022    0.000 {kivy.graphics.opengl.glClearColor}
      516    0.021    0.000    0.316    0.001 C:\Python27\lib\site-packages\kivy\uix\label.py:178(texture_update)
      260    0.021    0.000    0.027    0.000 C:\Users\Divine\Documents\GitHub\3dl\scroller.py:87(do_layout)
      165    0.021    0.000    0.030    0.000 C:\Python27\lib\site-packages\kivy\uix\screenmanager.py:490(on_progress)
     2060    0.021    0.000    0.030    0.000 C:\Python27\lib\site-packages\kivy\uix\label.py:163(_trigger_texture_update)
     2993    0.021    0.000    0.021    0.000 C:\Python27\lib\site-packages\kivy\input\providers\wm_pen.py:78(_is_pen_message)
        1    0.020    0.020    0.024    0.024 C:\Python27\lib\site-packages\kivy\input\postproc\__init__.py:5(<module>)
   520/43    0.020    0.000    1.660    0.039 C:\Python27\lib\site-packages\kivy\lang.py:1557(apply)
      259    0.019    0.000    0.045    0.000 C:\Python27\lib\site-packages\kivy\uix\label.py:146(_create_label)
      259    0.019    0.000    0.114    0.000 C:\Python27\lib\site-packages\kivy\uix\label.py:128(__init__)
     7980    0.019    0.000    0.019    0.000 C:\Python27\lib\collections.py:73(__iter__)
      183    0.017    0.000    0.019    0.000 {method 'blit_data' of 'kivy.graphics.texture.Texture' objects}
     1712    0.016    0.000    0.024    0.000 C:\Python27\lib\site-packages\kivy\input\postproc\tripletap.py:74(process)
      890    0.016    0.000    0.016    0.000 C:\Python27\lib\site-packages\kivy\core\text\__init__.py:526(fontid)
      404    0.015    0.000    0.325    0.001 C:\Python27\lib\site-packages\kivy\core\window\__init__.py:591(clear)
      869    0.014    0.000    0.201    0.000 C:\Python27\lib\site-packages\kivy\core\text\text_pygame.py:85(_render_text)
     6461    0.014    0.000    0.014    0.000 {max}
     2245    0.014    0.000    0.020    0.000 <string>:134(<module>)
        1    0.014    0.014   34.401   34.401 C:\Python27\lib\site-packages\kivy\core\window\window_pygame.py:378(mainloop)
     1712    0.013    0.000    0.018    0.000 C:\Python27\lib\site-packages\kivy\input\postproc\doubletap.py:69(process)
     1414    0.013    0.000    0.022    0.000 C:\Python27\lib\site-packages\kivy\lang.py:733(__getattribute__)
       17    0.013    0.001    0.013    0.001 {method 'clear' of 'kivy.graphics.instructions.Canvas' objects}
     4716    0.013    0.000    0.013    0.000 {time.clock}
7300/7296    0.012    0.000    0.012    0.000 {len}
      183    0.012    0.000    0.016    0.000 C:\Python27\lib\site-packages\kivy\core\text\text_pygame.py:96(_render_end)
     1712    0.011    0.000    0.014    0.000 C:\Python27\lib\site-packages\kivy\input\providers\wm_pen.py:129(update)
 1494/306    0.011    0.000    0.014    0.000 C:\Python27\lib\site-packages\kivy\uix\widget.py:430(to_widget)
     1712    0.011    0.000    6.774    0.004 C:\Python27\lib\site-packages\kivy\clock.py:426(tick_draw)
      319    0.010    0.000    0.280    0.001 C:\Python27\lib\site-packages\kivy\core\text\__init__.py:433(refresh)
      404    0.010    0.000    0.303    0.001 C:\Python27\lib\site-packages\kivy\core\window\window_pygame.py:275(flip)
       59    0.009    0.000    1.858    0.031 C:\Users\Divine\Documents\GitHub\3dl\listviews.py:132(populate)
      520    0.009    0.000    0.015    0.000 C:\Python27\lib\site-packages\kivy\lang.py:1735(match)
      263    0.009    0.000    0.124    0.000 C:\Users\Divine\Documents\GitHub\3dl\scroller.py:30(on_scroll)
     1009    0.008    0.000    0.188    0.000 C:\Python27\lib\site-packages\kivy\core\text\text_pygame.py:78(get_extents)
      372    0.008    0.000    0.010    0.000 C:\Users\Divine\Documents\GitHub\3dl\scroller.py:20(_get_min)
      934    0.008    0.000    0.008    0.000 C:\Python27\lib\site-packages\kivy\weakmethod.py:71(__init__)
      259    0.008    0.000    0.008    0.000 {zip}
     3537    0.008    0.000    0.008    0.000 {time.time}
  986/105    0.008    0.000    0.034    0.000 C:\Python27\lib\site-packages\kivy\uix\widget.py:287(on_touch_move)
        1    0.008    0.008    0.008    0.008 {method 'blit_buffer' of 'kivy.graphics.texture.Texture' objects}
      705    0.008    0.000    0.065    0.000 C:\Python27\lib\site-packages\kivy\uix\layout.py:74(add_widget)
     1712    0.008    0.000    0.011    0.000 C:\Python27\lib\site-packages\kivy\input\postproc\ignorelist.py:36(process)
       32    0.007    0.000    0.009    0.000 C:\Python27\lib\site-packages\kivy\cache.py:188(_purge_by_timeout)
      217    0.007    0.000    0.148    0.001 C:\Users\Divine\Documents\GitHub\3dl\listviews.py:83(_scroll)
      210    0.007    0.000    0.089    0.000 C:\Python27\lib\site-packages\kivy\effects\dampedscroll.py:58(update_velocity)
      520    0.007    0.000    0.007    0.000 C:\Python27\lib\site-packages\kivy\base.py:119(ensure_window)
     2310    0.007    0.000    0.007    0.000 <string>:163(<module>)
      270    0.007    0.000    0.011    0.000 C:\Python27\lib\site-packages\kivy\core\text\__init__.py:100(__init__)
      224    0.007    0.000    0.765    0.003 C:\Python27\lib\site-packages\kivy\animation.py:295(_update)
